Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-08-10 09:30:00-04:00,288.1700134277344,289.239990234375,287.0199890136719,288.581298828125,4438751,0.0,0
2022-08-10 10:00:00-04:00,288.6400146484375,289.07000732421875,287.0199890136719,287.6600036621094,2012818,0.0,0
2022-08-10 10:30:00-04:00,287.7200012207031,289.2698059082031,287.5663146972656,288.3900146484375,1410171,0.0,0
2022-08-10 11:00:00-04:00,288.4100036621094,289.6600036621094,288.3699951171875,288.80999755859375,1545231,0.0,0
2022-08-10 11:30:00-04:00,288.7900085449219,289.0849914550781,288.3299865722656,288.6300048828125,1114855,0.0,0
2022-08-10 12:00:00-04:00,288.6499938964844,288.79998779296875,287.6532897949219,288.0799865722656,980725,0.0,0
2022-08-10 12:30:00-04:00,288.1000061035156,288.25,287.6400146484375,288.17498779296875,783127,0.0,0
2022-08-10 13:00:00-04:00,288.19000244140625,288.69000244140625,287.81500244140625,288.32720947265625,645219,0.0,0
2022-08-10 13:30:00-04:00,288.32000732421875,289.0,288.1629943847656,288.4599914550781,810047,0.0,0
2022-08-10 14:00:00-04:00,288.4750061035156,288.79998779296875,288.2113037109375,288.3800048828125,629569,0.0,0
2022-08-10 14:30:00-04:00,288.3900146484375,288.92498779296875,288.1000061035156,288.1700134277344,858166,0.0,0
2022-08-10 15:00:00-04:00,288.1600036621094,288.5950012207031,287.94000244140625,288.54998779296875,1038119,0.0,0
2022-08-10 15:30:00-04:00,288.5400085449219,289.80999755859375,288.3500061035156,289.135009765625,3360022,0.0,0
2022-08-11 09:30:00-04:00,290.8500061035156,291.2099914550781,288.510009765625,288.9200134277344,3499659,0.0,0
2022-08-11 10:00:00-04:00,288.9599914550781,290.45001220703125,288.9599914550781,289.0199890136719,1640173,0.0,0
2022-08-11 10:30:00-04:00,289.0325927734375,289.55999755859375,287.8800048828125,288.3880920410156,1321546,0.0,0
2022-08-11 11:00:00-04:00,288.3800048828125,288.489990234375,287.04998779296875,288.07000732421875,1410916,0.0,0
2022-08-11 11:30:00-04:00,288.05999755859375,288.7250061035156,287.7850036621094,288.5299987792969,1169590,0.0,0
2022-08-11 12:00:00-04:00,288.5350036621094,288.79998779296875,287.8742980957031,288.7699890136719,765249,0.0,0
2022-08-11 12:30:00-04:00,288.75,289.07000732421875,288.4800109863281,288.57940673828125,721936,0.0,0
2022-08-11 13:00:00-04:00,288.6099853515625,289.20001220703125,288.2200012207031,288.75,667902,0.0,0
2022-08-11 13:30:00-04:00,288.7200012207031,288.80718994140625,288.18011474609375,288.3299865722656,594975,0.0,0
2022-08-11 14:00:00-04:00,288.30999755859375,288.30999755859375,287.1600036621094,287.42999267578125,785278,0.0,0
2022-08-11 14:30:00-04:00,287.4100036621094,287.4599914550781,286.510009765625,287.1499938964844,862551,0.0,0
2022-08-11 15:00:00-04:00,287.1400146484375,287.5400085449219,286.57000732421875,287.25,801519,0.0,0
2022-08-11 15:30:00-04:00,287.25,287.6000061035156,286.760009765625,287.0899963378906,2026180,0.0,0
2022-08-12 09:30:00-04:00,288.4800109863281,288.989990234375,287.19000244140625,287.9700012207031,4930503,0.0,0
2022-08-12 10:00:00-04:00,287.9700012207031,289.07000732421875,286.94000244140625,288.3999938964844,1328375,0.0,0
2022-08-12 10:30:00-04:00,288.3900146484375,288.8699951171875,287.8900146484375,288.5299987792969,1047865,0.0,0
2022-08-12 11:00:00-04:00,288.5,289.67999267578125,288.1300048828125,289.2699890136719,1042690,0.0,0
2022-08-12 11:30:00-04:00,289.2799987792969,289.4800109863281,288.7300109863281,288.80999755859375,784220,0.0,0
2022-08-12 12:00:00-04:00,288.8500061035156,289.4599914550781,288.760009765625,289.260009765625,497429,0.0,0
2022-08-12 12:30:00-04:00,289.29998779296875,289.5,288.9200134277344,289.1099853515625,425089,0.0,0
2022-08-12 13:00:00-04:00,289.0799865722656,289.7300109863281,288.80999755859375,289.6299133300781,646132,0.0,0
2022-08-12 13:30:00-04:00,289.614990234375,290.1600036621094,289.5400085449219,289.8999938964844,936013,0.0,0
2022-08-12 14:00:00-04:00,289.92999267578125,290.3299865722656,289.7900085449219,290.239990234375,723587,0.0,0
2022-08-12 14:30:00-04:00,290.239990234375,290.8399963378906,290.2300109863281,290.67498779296875,961852,0.0,0
2022-08-12 15:00:00-04:00,290.67498779296875,291.2300109863281,290.5450134277344,290.8299865722656,1237455,0.0,0
2022-08-12 15:30:00-04:00,290.82000732421875,291.9100036621094,290.7300109863281,291.8999938964844,2946723,0.0,0
2022-08-15 09:30:00-04:00,291.0,292.5,290.4599914550781,292.1199951171875,4942182,0.0,0
2022-08-15 10:00:00-04:00,292.1700134277344,292.20001220703125,290.1099853515625,290.6600036621094,1076738,0.0,0
2022-08-15 10:30:00-04:00,290.6300048828125,291.2499084472656,290.2099914550781,290.5,914838,0.0,0
2022-08-15 11:00:00-04:00,290.4800109863281,291.739990234375,290.2200012207031,291.6300048828125,795039,0.0,0
2022-08-15 11:30:00-04:00,291.6199951171875,292.79998779296875,291.5799865722656,292.67999267578125,835404,0.0,0
2022-08-15 12:00:00-04:00,292.70001220703125,292.75,292.2699890136719,292.6099853515625,517519,0.0,0
2022-08-15 12:30:00-04:00,292.6400146484375,292.95001220703125,292.54998779296875,292.79998779296875,690777,0.0,0
2022-08-15 13:00:00-04:00,292.79998779296875,293.19000244140625,292.57000732421875,292.92999267578125,603419,0.0,0
2022-08-15 13:30:00-04:00,292.95001220703125,293.25,292.7326965332031,293.17999267578125,464093,0.0,0
2022-08-15 14:00:00-04:00,293.19000244140625,293.489990234375,292.8599853515625,293.3450012207031,591449,0.0,0
2022-08-15 14:30:00-04:00,293.3599853515625,294.17999267578125,293.29998779296875,293.9070129394531,1023964,0.0,0
2022-08-15 15:00:00-04:00,293.8909912109375,294.010009765625,293.29998779296875,293.7001037597656,867523,0.0,0
